Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,734372,-,-,-,29.77,-95.38,0,20,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Temperature,Cloud Type,DNI,Dew Point,Solar Zenith Angle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2022,1,3,0,30,3.4,0,0,-5.2,101.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,1,0,3.1,0,0,-4.7,108.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,1,30,2.8,0,0,-4.7,114.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,2,0,2.5,0,0,-4.2,120.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,2,30,2.1,0,0,-4.2,127.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,3,0,1.7,0,0,-3.6,133.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,3,30,1.4,0,0,-3.6,140.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,4,0,1,0,0,-3.2,146.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,4,30,0.7,0,0,-3.2,153.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,5,0,0.3,0,0,-3,159.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,5,30,0.1,0,0,-3,165.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,6,0,-0.1,0,0,-3,170.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,6,30,-0.3,0,0,-3,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,7,0,-0.5,0,0,-3.2,169.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,7,30,-0.6,0,0,-3.2,164.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,8,0,-0.8,0,0,-3.3,157.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,8,30,-1,0,0,-3.3,151.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,9,0,-1.1,0,0,-3.5,144.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,9,30,-1.2,0,0,-3.5,138.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,10,0,-1.4,0,0,-3.7,131.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,10,30,-1.5,0,0,-3.7,125.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,11,0,-1.7,0,0,-3.8,119.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,11,30,-1.8,0,0,-3.8,112.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,12,0,-2,0,0,-4,106.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,12,30,-1.8,0,0,-4,100.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,13,0,-1.6,0,0,-3.9,94.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,13,30,-0.1,0,281,-3.9,88.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,14,0,1.3,0,614,-4.8,82.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,14,30,2.8,0,757,-4.8,77.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,15,0,4.2,0,845,-6.5,72.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,15,30,5.4,0,904,-6.5,67.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,16,0,6.5,0,945,-6.8,63.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,16,30,7.5,0,973,-6.8,59.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,17,0,8.4,0,993,-6.7,56.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,17,30,9.2,0,1003,-6.7,54.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,18,0,10,0,1005,-6.5,52.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,18,30,10.6,0,1008,-6.5,52.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,19,0,11.1,0,1005,-6.3,53.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,19,30,11.5,0,997,-6.3,54.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,20,0,11.8,0,983,-6.2,57.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,20,30,11.8,0,959,-6.2,60.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,21,0,11.8,0,922,-6.1,64.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,21,30,11.3,0,876,-6.1,68.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,22,0,10.8,0,808,-3.2,73.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,22,30,9.8,0,702,-3.2,78.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,23,0,8.7,0,518,-2.5,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,23,30,8.4,0,136,-2.5,89.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,4,0,0,8.2,0,0,-3.9,95.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,4,0,30,8,0,0,-3.9,101.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,4,1,0,7.9,0,0,-4.2,108.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,4,1,30,7.6,0,0,-4.2,114.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,4,2,0,7.4,0,0,-4.3,120.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,4,2,30,7,0,0,-4.3,127.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,4,3,0,6.5,0,0,-4,133.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,4,3,30,6,0,0,-4,140.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,4,4,0,5.5,0,0,-3.9,146.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,4,4,30,5.2,0,0,-3.9,153.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,4,5,0,4.9,0,0,-3.8,159.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,4,5,30,4.7,7,0,-3.8,165.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,4,6,0,4.5,7,0,-3.5,170.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,4,6,30,4.4,7,0,-3.5,172.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,4,7,0,4.3,7,0,-3.2,169.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,4,7,30,4.5,7,0,-3.2,164.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,4,8,0,4.7,7,0,-2.4,157.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,4,8,30,4.8,7,0,-2.4,151.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,4,9,0,4.9,7,0,-1.6,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,4,9,30,4.9,7,0,-1.6,138.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,4,10,0,4.9,7,0,-1.2,131.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,4,10,30,4.8,7,0,-1.2,125.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,4,11,0,4.6,7,0,-1.1,119.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,4,11,30,4.5,7,0,-1.1,112.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,4,12,0,4.4,0,0,-0.8,106.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
